relation,postag1,postag2,entity1,entity2,reverse,prediction
PART_WHOLE,NNS,NN,answers,corpora,False,PART_WHOLE
USAGE,NNS,NNS,answering agents,knowledge-based mechanisms,True,TOPIC
COMPARE,VBZ,NN,answer resolution algorithm,baseline system,False,TOPIC
USAGE,VBG,NNS,scoring,speech recognition hypotheses,False,RESULT
PART_WHOLE,NN,NNP,German corpus,SRHs,True,TOPIC
COMPARE,NNS,NNS,phrase-based models,word-based models,False,MODEL-FEATURE
USAGE,VBG,NNS,heuristic learning,word-based alignments,True,USAGE
MODEL-FEATURE,NN,NNS,lexical weighting,phrase translations,False,MODEL-FEATURE
PART_WHOLE,NNS,NNS,phrases,high-accuracy word-level alignment models,False,PART_WHOLE
USAGE,NN,NN,model,error correction,False,RESULT
USAGE,VBG,NN,post-processing,output,False,RESULT
USAGE,NN,NNS,model,finite-state models,True,RESULT
RESULT,NN,NN,model,character and word error rate,False,RESULT
USAGE,NN,NN,automatic extraction,printed text,False,RESULT
USAGE,NNS,NNP,ambiguity packing and stochastic disambiguation techniques,Lexical-Functional Grammars,False,PART_WHOLE
USAGE,NN,NNP,linguistic parser/generator,LFG,False,PART_WHOLE
USAGE,NN,NN,transfer component,parse reduction,False,RESULT
USAGE,NN,NN,maximum-entropy model,stochastic output selection,True,TOPIC
TOPIC,NN,NN,experimental evaluation,summarization,False,USAGE
MODEL-FEATURE,NN,NN,grammaticality,system output,False,RESULT
USAGE,NNS,NNS,priors,conditional loglinear models,False,MODEL-FEATURE
RESULT,NN,NN,tagger,accuracy,False,RESULT
USAGE,NNS,NN,training data,language modeling,False,MODEL-FEATURE
PART_WHOLE,NN,NN,text,web,False,COMPARE
RESULT,NN,NNP,translation quality,EBMT,True,TOPIC
PART_WHOLE,JJ,NN,hubs,automaton,False,COMPARE
USAGE,NN,JJ,syntax-based constraint,word alignment,False,MODEL-FEATURE
USAGE,NN,VBG,bootstrapping approach,Named Entity (NE) tagging,False,RESULT
MODEL-FEATURE,NNS,NN,seeds,concept,False,COMPARE
USAGE,NN,NNS,decision list,parsing-based NE rules,True,USAGE
USAGE,NNP,NN,Hidden Markov Model,corpus,False,PART_WHOLE
USAGE,NN,NN,phrase-based unigram model,statistical machine translation,False,USAGE
PART_WHOLE,NNS,NNS,blocks,source interval projections,False,MODEL-FEATURE
USAGE,NNS,JJ,block selection criteria,unigram,True,PART_WHOLE
USAGE,NNP,NN,Cooperative Model,natural language understanding,False,COMPARE
PART_WHOLE,NN,NN,JAVELIN system,planning-based architecture,True,TOPIC
USAGE,JJ,NNS,JAVELIN,questions,False,COMPARE
PART_WHOLE,NNS,NN,answer candidates,text corpus,False,COMPARE
PART_WHOLE,NN,NNS,repository,data objects,True,USAGE
USAGE,NN,NNS,IE paradigm,predicate-argument structures,True,USAGE
USAGE,NNP,NNS,Hierarchical Directed Acyclic Graph (HDAG) Kernel,structured natural language data,False,COMPARE
MODEL-FEATURE,NNS,NNP,attribute sequences,HDAGs,False,PART_WHOLE
COMPARE,NNP,NNS,HDAG Kernel,kernel functions,False,COMPARE
MODEL-FEATURE,NNS,NN,semantic verb classes,corpus data,False,COMPARE
USAGE,NN,NNP,subcategorization frame,Information Bottleneck,True,TOPIC
MODEL-FEATURE,NN,NNS,polysemy,clusters,False,MODEL-FEATURE
USAGE,NN,NN,decision tree based approach,pronoun resolution,False,RESULT
MODEL-FEATURE,NNS,NNS,pronouns,NP- and non-NP-antecedents,True,TOPIC
USAGE,NN,NN,pronoun resolution,spoken dialogue,False,RESULT
PART_WHOLE,NNS,NN,Topic Detection and Tracking tasks,new event detection,False,COMPARE
USAGE,NN,NNS,discourse understanding process,spoken dialogue systems,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,context,dialogue,False,MODEL-FEATURE
USAGE,NNS,VBG,candidates,understanding,False,RESULT
MODEL-FEATURE,NN,VBG,ambiguity,speech understanding,False,RESULT
USAGE,NNS,VBG,candidates,understanding,False,RESULT
MODEL-FEATURE,NN,NN,statistical information,dialogue corpora,False,RESULT
USAGE,NNS,VBG,candidates,understanding,False,RESULT
USAGE,NN,NNS,user modeling,cooperative responses,False,RESULT
MODEL-FEATURE,NNS,VBG,models,decision tree learning,True,MODEL-FEATURE
USAGE,NNS,NN,Dialogue strategies,user modeling,True,PART_WHOLE
USAGE,NN,NN,unsupervised learning approach,non-English (Arabic) stemmer,False,USAGE
USAGE,NN,NN,stemming model,statistical machine translation,True,USAGE
MODEL-FEATURE,NN,NN,language,affix removal,True,TOPIC
RESULT,NN,NN,resource-frugal approach,agreement,False,RESULT
USAGE,NN,NN,Task-based evaluation,Arabic information retrieval,True,TOPIC
USAGE,NN,NN,manually segmented Arabic corpus,unsupervised algorithm,False,RESULT
USAGE,NN,NN,Arabic word segmenter,unsegmented Arabic corpus,True,TOPIC
MODEL-FEATURE,NN,NN,morpheme sequence,input,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,language model,manually segmented corpus,False,USAGE
PART_WHOLE,NNS,NN,stems,unsegmented corpus,False,COMPARE
USAGE,NNS,NN,model parameters,vocabulary,False,COMPARE
RESULT,NN,NN,Arabic word segmentation system,exact match accuracy,False,RESULT
PART_WHOLE,NN,NNS,test corpus,word tokens,True,USAGE
MODEL-FEATURE,NN,NN,manually segmented corpus,language,False,RESULT
USAGE,NN,NNS,word sense disambiguation,manually sense-tagged data,True,USAGE
MODEL-FEATURE,NNS,NN,sense-tagged training data,English-Chinese parallel corpora,False,COMPARE
MODEL-FEATURE,NN,NNS,domain dependence,WSD programs,False,COMPARE
USAGE,NN,NN,semantically annotated corpus,acquisition of word-semantic information,False,RESULT
MODEL-FEATURE,NN,NN,ambiguity,semantic annotation,False,RESULT
MODEL-FEATURE,NN,NN,attentional focus,direction-giving task,False,RESULT
USAGE,NN,NNS,ECA,verbal and nonverbal grounding acts,True,USAGE
COMPARE,NNP,NNP,HPSG,LTAG,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,analogies,sentences,False,MODEL-FEATURE
USAGE,NNP,VBG,CriterionSM Online Essay Evaluation Service,writing,False,USAGE
MODEL-FEATURE,NN,NNS,coherence,essays,False,COMPARE
MODEL-FEATURE,NNS,NNS,features,sentences,False,MODEL-FEATURE
USAGE,NN,NNS,support vector machine,features,True,USAGE
TOPIC,NN,NNS,Intra-sentential quality,rule-based heuristics,True,USAGE
MODEL-FEATURE,NN,NN,information redundancy,multilingual input,False,RESULT
MODEL-FEATURE,NNS,NNP,documents,Arabic,True,TOPIC
MODEL-FEATURE,JJ,NNP,summary,English,True,PART_WHOLE
MODEL-FEATURE,NN,NNP,information,English,True,TOPIC
USAGE,NN,NNS,maximum entropy word alignment algorithm,supervised training data,True,USAGE
RESULT,NNS,NN,supervised and unsupervised methods,performance,False,RESULT
USAGE,NN,NN,probabilistic model,alignment,False,USAGE
USAGE,NN,NNS,phrase-based statistical machine translation method,non-contiguous phrases,True,USAGE
PART_WHOLE,NNS,NN,phrases,word-aligned corpora,False,PART_WHOLE
USAGE,NN,NNS,statistical translation model,phrases,False,MODEL-FEATURE
USAGE,NN,NN,training method,translation accuracy,True,RESULT
USAGE,NNS,NN,Translations,beam-search decoder,True,PART_WHOLE
USAGE,NN,NN,automatic evaluation,machine translation,False,USAGE
COMPARE,NNS,NNS,rankings,official rankings,False,MODEL-FEATURE
PART_WHOLE,NNS,NNS,patterns,translation data,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,patterns,machine translation output,False,COMPARE
MODEL-FEATURE,NN,NNS,translation,words,False,PART_WHOLE
RESULT,NN,NNS,accuracy,SMT models,True,RESULT
COMPARE,NNS,NNS,SMT models,WSD models,False,MODEL-FEATURE
COMPARE,NNP,NNS,SMT,rule-based translation systems,False,COMPARE
PART_WHOLE,NN,NNP,English-Chinese bitexts,Web,False,PART_WHOLE
PART_WHOLE,NN,NNP,English-Chinese bitexts,Web,False,PART_WHOLE
COMPARE,NN,NN,machine translation (MT) evaluation,sentence-level semantic equivalence classification,False,RESULT
USAGE,NNS,NNS,MT evaluation methods,classifiers,False,MODEL-FEATURE
USAGE,NN,NNP,classification method,PER,True,TOPIC
MODEL-FEATURE,NN,NNS,part of speech information,words,False,PART_WHOLE
RESULT,NNS,NNS,MT evaluation techniques,features,False,USAGE
RESULT,NN,NN,technique,paraphrase classification accuracy,False,RESULT
PART_WHOLE,NN,NNS,paraphrase,seed sentences,False,COMPARE
MODEL-FEATURE,NN,NNS,lexical and syntactical variation,paraphrases,False,USAGE
USAGE,NNS,NN,reference sets,MT evaluation,False,COMPARE
MODEL-FEATURE,NN,NNS,annotating scheme,honorifics,False,COMPARE
RESULT,NN,NNS,referential information,machine translation outputs,False,COMPARE
MODEL-FEATURE,NNS,NNS,ranks,referents,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,candidate parses,sentence,False,PART_WHOLE
MODEL-FEATURE,NNS,NN,features,tree,False,MODEL-FEATURE
USAGE,NN,NNS,generative model,features,True,USAGE
USAGE,NN,NNS,boosting approach,ranking problems,False,COMPARE
USAGE,NN,NN,parsing,Wall Street Journal treebank,False,COMPARE
RESULT,NN,NNP,model,F-measure,False,RESULT
MODEL-FEATURE,NN,NNS,sparsity of the feature space,parsing data,False,COMPARE
PART_WHOLE,NNS,NNS,feature selection methods,log-linear (maximum-entropy) models,False,MODEL-FEATURE
USAGE,NNS,NN,discovering parallel sentences,"comparable, non-parallel corpora",False,COMPARE
PART_WHOLE,NNS,NN,parallel data,"Chinese, Arabic, and English non-parallel newspaper corpora",False,COMPARE
USAGE,NN,NN,MT system,parallel corpus,True,RESULT
PART_WHOLE,NNS,NN,phrase translations,suffix array-based data structure,False,COMPARE
MODEL-FEATURE,NN,NN,syntactic information,source language,False,USAGE
MODEL-FEATURE,NN,NN,source dependency parse,sentence,False,PART_WHOLE
USAGE,NN,NNS,Chinese word sense disambiguation model,translation candidates,False,COMPARE
RESULT,NN,NN,word sense disambiguation,translation quality,False,USAGE
USAGE,NNS,NNS,statistical models,structured data,False,MODEL-FEATURE
USAGE,NN,NN,syntax-based statistical machine translation system,probabilistic synchronous dependency insertion grammar,True,RESULT
PART_WHOLE,NN,NNS,grammar,parallel corpora,False,USAGE
USAGE,NN,NN,graphical model,machine translation task,False,RESULT
USAGE,NN,NNS,baseline system,IBM models,True,USAGE
USAGE,NN,NN,localized phrase-based prediction model,statistical machine translation,False,USAGE
USAGE,NN,NNS,log-linear block bigram model,real-valued features,True,USAGE
PART_WHOLE,NN,NNS,monolingual parallel corpora,paraphrases,True,USAGE
PART_WHOLE,NNS,NN,paraphrases,bilingual parallel corpus,False,MODEL-FEATURE
PART_WHOLE,NNS,NNS,paraphrases,automatic alignments,False,MODEL-FEATURE
USAGE,NN,NN,Czech-English statistical machine translation system,tree-to-tree translation,False,RESULT
COMPARE,NN,NN,system's output,benchmark system,False,RESULT
USAGE,NN,NNS,two-step clustering process,sentence co-occurrences,True,USAGE
USAGE,NN,NNS,addressee identification,four-participants face-to-face meetings,False,COMPARE
RESULT,NNS,NN,classifiers,gain,False,COMPARE
USAGE,NNS,NN,evaluation measures,machine translation,False,USAGE
USAGE,NN,VBG,evaluation measure,block reordering,False,RESULT
RESULT,NNS,NNS,evaluation measures,word-dependent substitution costs,True,PART_WHOLE
COMPARE,NN,NN,measure,human judgment,False,RESULT
COMPARE,NNS,NN,automatic evaluation measures,human judgment,False,COMPARE
PART_WHOLE,NNS,NN,segment boundaries,spoken multiparty dialogue,False,COMPARE
COMPARE,NN,NN,ASR output,human transcription,False,RESULT
USAGE,NNS,NN,predicting top-level boundaries,machine learning approach,True,PART_WHOLE
MODEL-FEATURE,NNS,NN,transcription errors,ASR output,False,COMPARE
RESULT,NNS,NN,Combination methods,system performance,False,COMPARE
USAGE,NNS,NNS,combination methods,predominant senses,True,PART_WHOLE
MODEL-FEATURE,NN,NN,underspecified semantic representation,scope ambiguity,False,RESULT
USAGE,NNS,NN,machine learning techniques,comma checker,False,COMPARE
USAGE,NN,NNP,grammar checker,Basque,False,TOPIC
PART_WHOLE,NN,NNS,corpus,words,True,PART_WHOLE
MODEL-FEATURE,NN,NN,corpus,author,True,PART_WHOLE
USAGE,NN,NNS,unsupervised learning approach,lexical and syntactic features,True,USAGE
COMPARE,NN,NNS,spectral clustering based approach,clustering methods,False,COMPARE
PART_WHOLE,NN,NNS,polarity-tagged corpus,HTML documents,False,COMPARE
PART_WHOLE,NN,NNS,corpus,sentences,True,MODEL-FEATURE
USAGE,NNS,NN,scenario templates,text browser,False,COMPARE
USAGE,NN,NN,prototype system,industry watch,False,RESULT
PART_WHOLE,NN,NNS,interface,IE-enhanced text browsers,False,COMPARE
USAGE,NN,NNS,Automatic Speech Recognition technology,dialog systems,False,COMPARE
TOPIC,NN,NN,system response,natural language generation community,True,RESULT
USAGE,NN,NNS,generation,dialog systems,False,COMPARE
USAGE,NNS,NNS,knowledge-based generation systems,machine learning techniques,True,PART_WHOLE
USAGE,NNP,NNS,TAP-XL Automated Analyst's Assistant,"multilingual, multimedia data",True,USAGE
MODEL-FEATURE,NNS,NNS,computational problems,probabilistic translation models,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,models,probabilistic context-free grammars,True,MODEL-FEATURE
MODEL-FEATURE,JJ,NNP,hardness,NP,True,PART_WHOLE
USAGE,NNS,NNS,evaluation metrics,Machine Translation (MT) systems,False,MODEL-FEATURE
MODEL-FEATURE,JJ,NN,English-Japanese,word segmentation problem,True,RESULT
USAGE,NNP,JJ,BLEU,word n-grams,False,MODEL-FEATURE
USAGE,NNP,NN,BLEU,character,False,COMPARE
COMPARE,NN,NNS,model,MT systems,False,MODEL-FEATURE
USAGE,NN,NN,visualization method,MT system,False,PART_WHOLE
TOPIC,NNP,NN,Statistical Machine Translation,SMT research community,True,USAGE
MODEL-FEATURE,NN,NNP,computational complexity,SMT,False,TOPIC
USAGE,NN,NNS,polynomial time solution,hard problems,False,COMPARE
USAGE,NN,NN,MT-based paraphrasing technique,QA system,False,RESULT
USAGE,NN,NNS,token classification task,tagging strategies,True,USAGE
USAGE,VBZ,NN,InfoMagnets,exploratory corpus analysis,False,COMPARE
USAGE,NN,NN,educational tool,protocol analysis,False,RESULT
USAGE,NN,NNS,polarization,elementary structures,False,COMPARE
MODEL-FEATURE,NN,NN,saturation,structure,False,RESULT
MODEL-FEATURE,NN,NNS,similarity,word vectors,True,MODEL-FEATURE
USAGE,NNS,NN,"LSA-based, cooccurrence-based and dictionary-based methods",similarity,False,PART_WHOLE
USAGE,NNS,NN,dictionary-based word vectors,taxonomic similarity,False,PART_WHOLE
USAGE,NNS,NN,LSA-based and the cooccurrence-based word vectors,associative similarity,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,events,event terms,True,PART_WHOLE
USAGE,NN,NNS,event map,documents,True,USAGE
USAGE,NN,NNP,interactive question-answering (Q/A) system,automatic Q/A,False,COMPARE
USAGE,NNP,VBG,Q/A,predictive questioning,True,USAGE
PART_WHOLE,NNS,NNS,abstracts,research articles,False,PART_WHOLE
PART_WHOLE,NNS,JJ,sentences,abstract,False,PART_WHOLE
PART_WHOLE,NNS,NNP,abstracts,Web,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,language model,abstract moves,False,MODEL-FEATURE
USAGE,NNS,NN,move-tagged abstracts,digital learning,False,PART_WHOLE
PART_WHOLE,NNS,NN,general-purpose NLP components,machine translation pipeline,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,verbs,subpredicates,True,MODEL-FEATURE
PART_WHOLE,NN,NN,verb,sentence,False,PART_WHOLE
PART_WHOLE,NN,NN,sentence,verb,True,PART_WHOLE
MODEL-FEATURE,NN,VBG,computational theory,human plausible reasoning,False,RESULT
MODEL-FEATURE,NN,NN,theory,content-independent formalism,True,TOPIC
COMPARE,NN,NN,logic,theory,False,RESULT
PART_WHOLE,NN,NN,theory,dimensionalized space,True,TOPIC
MODEL-FEATURE,NNS,NNS,inference types,certainty conditions,True,PART_WHOLE
MODEL-FEATURE,NNS,VBP,meta-inference types,inference,False,USAGE
USAGE,NNS,NN,Path-based inference rules,binary relational calculus notation,True,TOPIC
USAGE,NN,NNS,Node-based inference,node structures,True,USAGE
USAGE,NNS,NN,Node-based inference rules,predicate calculus notation,True,TOPIC
COMPARE,NN,NN,Path-based inference,node-based inference,False,RESULT
MODEL-FEATURE,NN,NNS,inheritance,hierarchies,False,COMPARE
USAGE,NNS,NNS,rules,mathematical expressions,False,PART_WHOLE
USAGE,NNP,NN,Augmented Transition Network,dialog model,False,COMPARE
TOPIC,NNS,NN,dialog schemata,conversation analysis,True,TOPIC
PART_WHOLE,NNS,NNS,verbal interactions,task-oriented dialogs,False,PART_WHOLE
PART_WHOLE,NNS,NN,metaphors,human understanding of natural language,False,PART_WHOLE
USAGE,NNS,NNS,method of analyzing metaphors,generalized metaphor mappings,True,PART_WHOLE
PART_WHOLE,JJ,NN,generalized metaphor,recognition network,True,RESULT
MODEL-FEATURE,NN,NN,meaning,input,False,MODEL-FEATURE
USAGE,NN,NN,decoding,non-literal aspects of communication,True,USAGE
PART_WHOLE,NNS,NNS,personal computers,graphics displays,True,PART_WHOLE
COMPARE,NNS,NNS,interfaces,natural language interfaces,False,PART_WHOLE
USAGE,NN,NN,bottom-up pattern-matching parser,restricted natural language,False,RESULT
USAGE,NN,NNS,left corner parsing algorithm,context-free grammars,False,COMPARE
USAGE,NN,NN,parser,natural language interface,False,USAGE
USAGE,NN,NN,programming language,logic,True,TOPIC
USAGE,NNP,NNS,Chat-80,English questions,False,COMPARE
PART_WHOLE,NNP,NN,Prolog,subset of logic,True,TOPIC
USAGE,NN,NN,query optimisation,relational database,False,RESULT
COMPARE,NNS,NN,conversation transcripts,neat texts,False,PART_WHOLE
USAGE,NNS,NNP,expectations,surface English,True,TOPIC
MODEL-FEATURE,NNS,NN,unknown words,context,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,word-senses,words with multiple meanings,False,PART_WHOLE
PART_WHOLE,NNS,NN,missing words,ellipsis,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,referents,anaphora,False,PART_WHOLE
USAGE,NNS,NN,expectations,scruffy texts,False,PART_WHOLE
USAGE,NN,NN,natural language system,ungrammatical input,False,USAGE
USAGE,NN,NN,English-Japanese machine translation,syntax directed approach,True,TOPIC
USAGE,NN,NN,Japanese-English translation,semantics directed approach,False,RESULT
COMPARE,NN,NN,Japanese sentence structure,English sentence structure,False,RESULT
MODEL-FEATURE,NN,NNS,surface representation,domain entities,False,COMPARE
USAGE,NNS,NN,multiple parsing strategies,recognition of extra-grammatical input,False,PART_WHOLE
USAGE,NN,NN,control structure,entity-oriented parser,False,RESULT
USAGE,NNS,NN,parsing strategies,control structure,True,USAGE
PART_WHOLE,NN,NN,parser,control structure,True,USAGE
PART_WHOLE,NN,NNS,proposition,fuzzy quantifiers,True,USAGE
PART_WHOLE,NN,NN,fuzzy quantifier,proposition,False,RESULT
MODEL-FEATURE,NN,NN,meaning,proposition,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,meaning,proposition,False,MODEL-FEATURE
USAGE,NNS,NN,reasoning with dispositions,fuzzy syllogism,True,TOPIC
RESULT,NNS,NN,Syllogistic reasoning with dispositions,commonsense reasoning,False,PART_WHOLE
PART_WHOLE,NN,NNS,management of uncertainty,expert systems,False,COMPARE
RESULT,NN,NN,typicality,human cognition,False,RESULT
USAGE,NN,NNS,computer text generation system,lexical substitutions,True,USAGE
COMPARE,NN,NN,pronominalization,superordinate substitution,False,RESULT
MODEL-FEATURE,NN,NNS,antecedence recovery,lexical substitutions,False,COMPARE
MODEL-FEATURE,NN,NNS,strength of potential antecedence,substitutions,False,COMPARE
MODEL-FEATURE,NN,NN,meaning,utterance,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,determiners,ambiguity,True,MODEL-FEATURE
MODEL-FEATURE,NN,NN,interpretation,meaning,False,MODEL-FEATURE
USAGE,NNP,NNS,RAREAS,formatted weather data,False,COMPARE
MODEL-FEATURE,NNS,NN,natural sublanguages,stereotyped text structure,True,TOPIC
USAGE,NNP,NN,RAREAS,linguistic and non-linguistic knowledge,True,TOPIC
USAGE,NN,NN,error correction,ill-formed input,False,RESULT
PART_WHOLE,NN,NN,dialogue acquisition and tracking algorithm,voice interactive system,False,RESULT
RESULT,NN,NN,processing,discourse,False,PART_WHOLE
MODEL-FEATURE,NNS,NN,utterances,linguistic structure,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,purposes,intentional structure,True,TOPIC
MODEL-FEATURE,NN,NN,focus of attention,attentional state,True,TOPIC
PART_WHOLE,NN,NNS,discourse,utterances,True,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,intentional structure,discourse-relevant purposes,False,COMPARE
MODEL-FEATURE,NN,NN,attentional state,focus of attention,False,RESULT
MODEL-FEATURE,NNS,NNS,"theory of attention, intention, and aggregation of utterances",discourses,False,PART_WHOLE
PART_WHOLE,NNS,NN,utterances,discourse,False,PART_WHOLE
PART_WHOLE,NNS,NN,utterances,discourse,False,PART_WHOLE
PART_WHOLE,NNS,NN,intentions,discourse,False,PART_WHOLE
MODEL-FEATURE,NNS,NN,human-machine interactions,natural language environment,True,TOPIC
COMPARE,NN,NN,speaker,listener,False,RESULT
COMPARE,NNP,NNP,Tree Adjoining Grammars,Head Grammars,False,COMPARE
MODEL-FEATURE,NN,NNS,equivalence,formalisms,False,COMPARE
MODEL-FEATURE,NN,NNS,linguistic expressiveness,formalisms,False,COMPARE
MODEL-FEATURE,NNS,NNS,features,linguistic objects,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,feature structures,logical formulas,False,PART_WHOLE
PART_WHOLE,NN,NN,transition graphs,deterministic finite automaton,False,RESULT
MODEL-FEATURE,NN,NNS,semantics,feature structures,False,MODEL-FEATURE
PART_WHOLE,NNS,NNS,path values,disjunctions,False,PART_WHOLE
COMPARE,NN,NN,logical model,denotational semantics,False,RESULT
USAGE,NN,NN,logical model,formulas,False,RESULT
MODEL-FEATURE,NN,NN,computational complexity,unification,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,consistency problem,formulas,False,RESULT
COMPARE,NN,NN,text,text-to-speech form,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,feedback,discourse,False,PART_WHOLE
PART_WHOLE,NN,NNP,pronominal anaphora resolution module,Lucy,False,COMPARE
PART_WHOLE,NN,NNS,blackboard-like architecture,partial theories,True,USAGE
USAGE,NNP,NNP,Unification Categorial Grammar,Machine Translation,False,COMPARE
MODEL-FEATURE,NNS,NNS,grammars,Source and Target languages,False,PART_WHOLE
COMPARE,NNP,NNP,SL,TL,False,COMPARE
COMPARE,NN,NN,translation relation,textual representation,False,RESULT
PART_WHOLE,NNS,NNP,demonstrative expressions,English,False,TOPIC
PART_WHOLE,NN,NNS,texts,demonstrative forms and functions,True,PART_WHOLE
MODEL-FEATURE,NNS,NNS,Boolean conditions,categories,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,syntactic descriptions,restrictive statements,True,PART_WHOLE
COMPARE,NNS,NN,context free languages,CCR formalism,False,PART_WHOLE
MODEL-FEATURE,NNS,NNS,logical well-formedness conditions,trees,False,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,presuppositional nature,sentences,False,MODEL-FEATURE
USAGE,NN,NN,computational model,discourse task,False,USAGE
PART_WHOLE,NN,NNP,model,APT,False,RESULT
PART_WHOLE,NNS,NN,fragments,sentence,False,PART_WHOLE
RESULT,VBG,NN,paraphrasing,parser,True,USAGE
MODEL-FEATURE,VBG,NNS,paraphrasing,sentences,False,USAGE
COMPARE,NNS,NN,general domains,linguistic domain,False,PART_WHOLE
USAGE,NN,NNS,linguistic representation,language processing systems,False,COMPARE
USAGE,NNP,NN,Dynamic Hierarchical Phrasal Lexicon,language acquisition,False,COMPARE
PART_WHOLE,NN,NN,language learning model,lexical hierarchy,True,TOPIC
