relation,postag1,postag2,entity1,entity2,reverse,prediction
PART_WHOLE,NNS,NN,events,sentence,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,structure of communicative context,dialogue interaction,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,lexical items,word clusters,TRUE,MODEL-FEATURE
USAGE,NN,NNS,natural language processing,Japanese natural language processing studies,FALSE,MODEL-FEATURE
USAGE,NN,NN,bit-vector-based CKY-style parser,context-free parsing,FALSE,USAGE
MODEL-FEATURE,NN,NNS,distributed message-passing infrastructure,dialogue systems,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,unrestricted texts,words,TRUE,MODEL-FEATURE
PART_WHOLE,NNS,NN,gene and protein interactions,biomedical text,FALSE,PART_WHOLE
PART_WHOLE,NN,JJ,focus,discourse,FALSE,MODEL-FEATURE
USAGE,NN,NNP,linguistic parser/generator,LFG,FALSE,PART_WHOLE
USAGE,NN,NN,computational model,POS learning,FALSE,MODEL-FEATURE
COMPARE,NNP,JJ,English,Japanese,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,attentional state,focus of attention,FALSE,USAGE
USAGE,NN,NN,control structure,entity-oriented parser,FALSE,USAGE
PART_WHOLE,NNS,NN,segment boundaries,spoken multiparty dialogue,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,"""theory of attention", intention," and aggregation of utterances""",discourses,FALSE,COMPARE
MODEL-FEATURE,NNS,NNP,language pairs,GLOSSER,FALSE,PART_WHOLE
USAGE,NN,NN,syntactic analysis,agenda-based scheduling parser,TRUE,USAGE
RESULT,NN,NN,Bikel's parser,accuracy,FALSE,RESULT
USAGE,NN,NN,natural language system,computational lexicon,TRUE,USAGE
USAGE,NN,NNS,expectation-maximization (EM) based word-clustering algorithm,Japanese verb phrases,FALSE,MODEL-FEATURE
TOPIC,NNP,NN,Statistical Machine Translation,SMT research community,TRUE,USAGE
USAGE,NN,NN,existing grammar,new sublanguage,FALSE,USAGE
RESULT,NN,NN,IntEx system,performance,FALSE,RESULT
MODEL-FEATURE,NNS,NN,translates,natural language,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,frequency profiles,parallel concordances,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,verbal interactions,task-oriented dialogs,FALSE,MODEL-FEATURE
COMPARE,NN,NN,constraint system,statistical model,FALSE,USAGE
USAGE,NNS,NNS,grammar formalisms,fine-grained grammatical categories,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,verb forms,information,TRUE,PART_WHOLE
COMPARE,NNS,NN,ungrammatical structures,grammatically correct input,FALSE,PART_WHOLE
USAGE,NN,NNP,problem,DRT,TRUE,USAGE
PART_WHOLE,NNS,NNS,discontinuous constituents,non-configurational languages,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,text-level anaphora,Grosz-Sidner-style focus model,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,objects,n-ary relations,TRUE,MODEL-FEATURE
USAGE,NN,NNS,two-step clustering process,sentence co-occurrences,TRUE,USAGE
USAGE,NN,NNS,log-linear block bigram model,real-valued features,TRUE,USAGE
COMPARE,NNP,NNP,SL,TL,FALSE,COMPARE
PART_WHOLE,NN,NN,computational lexicon,shared lexical information,TRUE,USAGE
PART_WHOLE,NNS,NN,sentences,answer,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,discourse relations,clauses,FALSE,MODEL-FEATURE
USAGE,NN,NNS,focus,speech synthesis systems,FALSE,MODEL-FEATURE
USAGE,NN,NN,feature-based word grammar,hierarchical lexicon,TRUE,USAGE
COMPARE,VBZ,VBZ,edges,edges,FALSE,COMPARE
MODEL-FEATURE,NNS,NNS,specifications,answer expressions,FALSE,MODEL-FEATURE
MODEL-FEATURE,JJ,NN,English-Japanese,word segmentation problem,TRUE,RESULT
MODEL-FEATURE,NN,NNP,conceptual system,NL,FALSE,PART_WHOLE
PART_WHOLE,NNS,NNS,personal computers,graphics displays,TRUE,MODEL-FEATURE
USAGE,NN,NN,bottom-up pattern-matching parser,restricted natural language,FALSE,USAGE
USAGE,NN,NNS,morphological component,derived words,FALSE,PART_WHOLE
USAGE,NN,NN,HPSG natural language system,database query application,FALSE,USAGE
MODEL-FEATURE,NNP,NNS,Word Sketch Engine,statistical parameters,TRUE,USAGE
USAGE,NNP,NN,Cooperative Model,natural language understanding,FALSE,USAGE
USAGE,NN,NN,Task-based evaluation,Arabic information retrieval,TRUE,USAGE
COMPARE,NNS,NNS,phrase-based models,word-based models,FALSE,MODEL-FEATURE
RESULT,NN,NN,word sense disambiguation,translation quality,FALSE,USAGE
RESULT,NNS,NN,training and testing factors,predictive performance,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,Boolean conditions,categories,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,temporal adverbials,sentence,FALSE,MODEL-FEATURE
USAGE,NNS,NN,assignments,discriminative training criterion,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NN,sentence plans,text-plan input,FALSE,PART_WHOLE
USAGE,NN,NNS,computer text generation system,lexical substitutions,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNP,German corpus,SRHs,TRUE,USAGE
PART_WHOLE,NN,NNS,spoken language understanding system,intelligent mobile agents,TRUE,USAGE
COMPARE,NN,NNS,system,systems,FALSE,USAGE
MODEL-FEATURE,VBP,NNS,joint model,argument frames,FALSE,COMPARE
USAGE,NN,NN,dictionary,linguistic theory,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,discontinuous constituents,definite clause grammars,TRUE,MODEL-FEATURE
USAGE,NN,NNS,baseline system,IBM models,TRUE,USAGE
USAGE,NNS,NNS,hidden Markov model (HMM) and maximum entropy (Maxent) classifiers,knowledge sources,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,word,sense priors,TRUE,USAGE
USAGE,NNS,NN,n-gram statistics,language modeling,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,proposition,fuzzy quantifiers,TRUE,USAGE
RESULT,NN,NN,accuracy,term aggregation system,TRUE,RESULT
USAGE,NN,NNS,translation,traditional MT architectural designs,TRUE,USAGE
MODEL-FEATURE,NN,NN,saturation,structure,FALSE,USAGE
PART_WHOLE,NN,NN,pipelined NLG architecture,revision component,TRUE,USAGE
MODEL-FEATURE,NNS,NN,identification of non-local depenencies,Penn Treebank data,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,relative frequency of occurrence,subcategorization classes,FALSE,MODEL-FEATURE
USAGE,NN,NNS,dictionary,linguistic resources,TRUE,USAGE
USAGE,NN,NNS,IE paradigm,predicate-argument structures,TRUE,USAGE
PART_WHOLE,NNS,NN,metaphors,human understanding of natural language,FALSE,PART_WHOLE
PART_WHOLE,NN,NNP,IE module,"""FACILE"," a EU project for multilingual text classification and IE""",FALSE,TOPIC
MODEL-FEATURE,NN,NN,formal definition,parsing,FALSE,USAGE
MODEL-FEATURE,NN,NN,manually segmented corpus,language,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,pronouns,NP- and non-NP-antecedents,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNS,paraphrase,seed sentences,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,PoS-tag feature function,word-lemma model,FALSE,USAGE
MODEL-FEATURE,NN,NN,threading algorithm,0(n) time,FALSE,USAGE
USAGE,NN,NN,semantically annotated corpus,acquisition of word-semantic information,FALSE,USAGE
USAGE,NN,VBG,reference model,averaging,TRUE,RESULT
USAGE,NN,NN,linguistic information,ambiguity,FALSE,MODEL-FEATURE
USAGE,NN,NNS,anaphoric component,linguistic phenomena,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,patterns,machine translation output,FALSE,PART_WHOLE
USAGE,NNS,VBG,candidates,understanding,FALSE,USAGE
COMPARE,NN,NNS,A deterministic parser,traditional deterministic parsers,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,VBZ,verbs,frames,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNS,test corpus,word tokens,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,lexical conceptual structure (LCS) representations,verbs,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,natural sublanguages,stereotyped text structure,TRUE,PART_WHOLE
MODEL-FEATURE,JJ,JJ,classifier,noun,FALSE,MODEL-FEATURE
USAGE,NNS,NNP,expectations,surface English,TRUE,PART_WHOLE
PART_WHOLE,JJ,NN,generalized metaphor,recognition network,TRUE,RESULT
MODEL-FEATURE,NN,NN,formalization,attentional structure in discourse,FALSE,MODEL-FEATURE
RESULT,NN,NNS,free indexation,referential properties of noun phrases,FALSE,MODEL-FEATURE
USAGE,NNS,NN,Translations,beam-search decoder,TRUE,PART_WHOLE
PART_WHOLE,NN,NN,JAVELIN system,planning-based architecture,TRUE,USAGE
USAGE,NN,NNS,terminology structuring,lexical methods,TRUE,USAGE
USAGE,NNS,NNS,statistical techniques,translations,FALSE,MODEL-FEATURE
USAGE,NNS,NNP,ambiguity packing and stochastic disambiguation techniques,Lexical-Functional Grammars,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,semantic criterion,distributional word feature vectors,FALSE,MODEL-FEATURE
USAGE,NN,NN,machine translation,formalism,TRUE,USAGE
MODEL-FEATURE,NN,NNS,co-occurrence distribution,terms,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,parallel data,"""Chinese", Arabic," and English non-parallel newspaper corpora""",FALSE,COMPARE
MODEL-FEATURE,NN,NNP,information,English,TRUE,PART_WHOLE
USAGE,NNS,NNS,automatic evaluations,high-quality data,TRUE,MODEL-FEATURE
PART_WHOLE,NNS,NN,translations,"""small"," domain-specific corpus""",FALSE,COMPARE
USAGE,NNS,NN,extracting subcategorization frames,written texts,FALSE,PART_WHOLE
USAGE,NN,VBG,bootstrapping approach,Named Entity (NE) tagging,FALSE,RESULT
RESULT,NNS,NNS,unsupervised methods,accuracies,FALSE,MODEL-FEATURE
USAGE,NN,NNS,decision list,parsing-based NE rules,TRUE,USAGE
USAGE,NN,NN,natural language understanding,machine translation,FALSE,USAGE
PART_WHOLE,NNS,NN,unknown words,dictionary,FALSE,USAGE
PART_WHOLE,NNP,NN,Prolog,subset of logic,TRUE,USAGE
USAGE,NN,NNS,categorization task,positive feature vectors,TRUE,USAGE
PART_WHOLE,NNS,NN,sentences,corpus,FALSE,PART_WHOLE
COMPARE,NN,NN,machine translation (MT) evaluation,sentence-level semantic equivalence classification,FALSE,USAGE
MODEL-FEATURE,NN,NNP,lexico-syntactic knowledge,SCFs,FALSE,PART_WHOLE
USAGE,VBZ,NN,InfoMagnets,exploratory corpus analysis,FALSE,COMPARE
USAGE,NN,NNS,topical blog post retrieval,textual credibility indicators,TRUE,USAGE
RESULT,NN,NN,performance,formal analysis,TRUE,RESULT
MODEL-FEATURE,NN,NN,word pairs,semantic distance,TRUE,USAGE
MODEL-FEATURE,NN,NN,semantic role labeling,Proposition Bank data,FALSE,USAGE
COMPARE,NN,NN,text,text-to-speech form,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNP,statistical models,WH-questions,FALSE,PART_WHOLE
RESULT,NN,NN,n-best speech/language integration architecture,accuracy,FALSE,RESULT
MODEL-FEATURE,NNS,NNS,weights,query terms,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,surface realizations,morphological constructions,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,lexically-induced relations,MeSH relations,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNP,NNS,LMs,confidence measures,TRUE,USAGE
TOPIC,NN,NNS,Intra-sentential quality,rule-based heuristics,TRUE,USAGE
USAGE,NN,JJ,standalone system,unannotated text,FALSE,MODEL-FEATURE
USAGE,NNS,NN,query terms,retrieval,FALSE,PART_WHOLE
COMPARE,NNP,NNP,ASR,IR,FALSE,COMPARE
RESULT,NN,NNS,feature weighting and selection function,feature vectors,FALSE,MODEL-FEATURE
USAGE,NN,NN,Korean phonological knowledge base system,unification-based grammar formalism,TRUE,USAGE
USAGE,NN,NN,text generation,linguistic theory,TRUE,USAGE
COMPARE,NN,NN,logical model,denotational semantics,FALSE,USAGE
USAGE,NN,NNP,segmentation,MT,FALSE,USAGE
COMPARE,NN,NN,parser,known deterministic parser,FALSE,USAGE
USAGE,NN,NNS,Acoustic modeling,cepstrum-based features,TRUE,USAGE
USAGE,NN,NN,Sentence boundary detection,speech recognition,FALSE,USAGE
PART_WHOLE,NN,NNS,lexical database,semantic relations,TRUE,USAGE
MODEL-FEATURE,NNP,NN,LM,confidence,TRUE,USAGE
COMPARE,NNS,NN,conversation transcripts,neat texts,FALSE,PART_WHOLE
USAGE,NN,JJ,corpus-based supervised word sense disambiguation (WSD) system,Dutch,FALSE,PART_WHOLE
USAGE,VBG,NN,supervised learning,summarization,FALSE,USAGE
USAGE,NN,NN,unsupervised learning approach,non-English (Arabic) stemmer,FALSE,USAGE
PART_WHOLE,NN,NNS,syntax,natural languages,FALSE,MODEL-FEATURE
USAGE,NN,NN,parsing,incremental description refinement,TRUE,USAGE
COMPARE,NNS,NN,generalizable semantic principles,domain-specific semantic information,FALSE,PART_WHOLE
USAGE,NN,NNS,bilingual dictionary coverage,features,FALSE,USAGE
MODEL-FEATURE,NN,NN,language,affix removal,TRUE,USAGE
MODEL-FEATURE,NNS,NNP,"""abstract flat syntactic representations"," LFG f-structures""","""underspecified semantic representations"," here Underspecified Discourse Representation Structures""",TRUE,TOPIC
MODEL-FEATURE,NNS,NN,senses,word,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,translation images,f-structures,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,components,names,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,meaning,text,FALSE,MODEL-FEATURE
USAGE,NN,NNS,parsing algorithm,parsing strategies,TRUE,USAGE
USAGE,NN,VBP,solution,temporal anaphora phenomena,FALSE,RESULT
USAGE,NNS,NN,constituent structure trees,semantic composition,FALSE,PART_WHOLE
USAGE,NN,NNP,full parsing,Information Extraction,FALSE,PART_WHOLE
USAGE,NN,NNP,RCL parser,superset of L,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,context,word,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,statistical model,Japanese unknown words,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,polarity-tagged corpus,HTML documents,FALSE,MODEL-FEATURE
USAGE,NN,NN,adaptive learning procedure,syntactic ambiguity resolution,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,temporal relations,segments,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,temporal connective,subordinate clause,FALSE,USAGE
USAGE,NNS,NN,move-tagged abstracts,digital learning,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,EM algorithm,optimum iteration number,TRUE,USAGE
PART_WHOLE,NNS,NN,language independent modules,LSP-MLP system,FALSE,PART_WHOLE
USAGE,NN,NN,finite-state approximation,speech recognition,FALSE,USAGE
PART_WHOLE,NNS,NNP,noun WSD problems,Japanese Dictionary Task in SENSEVAL2,FALSE,PART_WHOLE
RESULT,NN,NN,semantic information,performance,FALSE,RESULT
USAGE,NN,NNS,addressee identification,four-participants face-to-face meetings,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,linguistic concepts,training examples,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,ranking rules,training data,TRUE,MODEL-FEATURE
USAGE,NNS,NN,Japanese sentence analyses,argumentation system,TRUE,PART_WHOLE
COMPARE,NN,NN,out-of-domain corpus,in-domain corpus,FALSE,USAGE
PART_WHOLE,NNS,NNS,patterns,translation data,FALSE,MODEL-FEATURE
USAGE,NN,NNS,left corner parsing algorithm,context-free grammars,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,confidence,extracted fields,FALSE,MODEL-FEATURE
USAGE,NN,NN,annotation scheme,resource,FALSE,USAGE
MODEL-FEATURE,NN,NN,attentional focus,direction-giving task,FALSE,USAGE
USAGE,NN,NN,probabilistic model,alignment,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,word senses,senses,TRUE,MODEL-FEATURE
PART_WHOLE,NNS,NN,definition sentences,dictionary,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,robustness problems,natural language processing systems,FALSE,MODEL-FEATURE
USAGE,NN,NN,feature structure-directed generation,dialogue translation system,FALSE,USAGE
USAGE,NN,NN,automatic extraction,printed text,FALSE,USAGE
MODEL-FEATURE,NN,NNS,semantics,feature structures,FALSE,MODEL-FEATURE
USAGE,NNS,NN,Node-based inference rules,predicate calculus notation,TRUE,PART_WHOLE
USAGE,NNP,IN,parser MDCC,augmented Friedman - Warren algorithm,TRUE,TOPIC
PART_WHOLE,NNS,NN,rules,deterministic grammar,FALSE,USAGE
MODEL-FEATURE,NN,NNS,discursive usage,Chinese punctuation marks,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,derived string,corpus,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,similarity,sentence,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,anaphoric component,Mimo formalism,FALSE,USAGE
COMPARE,NNS,NN,context free languages,CCR formalism,FALSE,PART_WHOLE
USAGE,NNP,VBG,CriterionSM Online Essay Evaluation Service,writing,FALSE,RESULT
MODEL-FEATURE,NNS,NN,loss functions,translation performance,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,Topic Detection and Tracking tasks,new event detection,FALSE,PART_WHOLE
USAGE,NN,NN,dynamic combiner,reference,TRUE,USAGE
MODEL-FEATURE,NN,NN,derivational history,reduced IL formulae,FALSE,USAGE
PART_WHOLE,NNS,NN,relations,Japanese language dictionary,FALSE,PART_WHOLE
RESULT,NN,NN,accuracy,term aggregation system,TRUE,RESULT
MODEL-FEATURE,NNS,NN,paraphrases,compression ratio,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NN,sense,discourse,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,combination methods,predominant senses,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,quality,utterances,FALSE,MODEL-FEATURE
COMPARE,NN,NN,translation relation,textual representation,FALSE,USAGE
MODEL-FEATURE,NNS,NN,features,tree,FALSE,MODEL-FEATURE
USAGE,NN,NN,unsupervised learning method,associative relationship,FALSE,USAGE
PART_WHOLE,NNS,NN,paraphrases,bilingual parallel corpus,FALSE,MODEL-FEATURE
COMPARE,NN,NN,weight,word error rate,FALSE,USAGE
USAGE,NNS,NNS,answering agents,knowledge-based mechanisms,TRUE,MODEL-FEATURE
RESULT,NN,NN,model,character and word error rate,FALSE,RESULT
USAGE,NN,NN,explanation system,domain knowledge,TRUE,USAGE
MODEL-FEATURE,NN,NN,source dependency parse,sentence,FALSE,MODEL-FEATURE
USAGE,NN,NN,Boolean matrix multiplication,CFG parsing,FALSE,USAGE
USAGE,NNS,NN,method to automatically acquire paraphrases,bilingual corpora,TRUE,PART_WHOLE
USAGE,VBG,NN,multimodal parsing and understanding,weighted finite-state device,TRUE,RESULT
USAGE,VBG,NNS,scoring,speech recognition hypotheses,FALSE,USAGE
PART_WHOLE,NNS,NNP,abstracts,Web,FALSE,PART_WHOLE
USAGE,NNS,NNS,knowledge sources,feature functions,FALSE,MODEL-FEATURE
USAGE,NN,NN,MT system,parallel corpus,TRUE,USAGE
PART_WHOLE,NNS,NN,hierarchical relations,thesaurus construction,FALSE,PART_WHOLE
USAGE,NN,NN,CoNLL 2008 shared task,generative history-based latent variable model,TRUE,USAGE
MODEL-FEATURE,NNS,NN,unknown words,context,TRUE,MODEL-FEATURE
MODEL-FEATURE,VB,NN,Turkish,agglutinative language,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,languages,grammatical frameworks,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,surface representation,domain entities,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,rankings,official rankings,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,sentences,chunks of words,TRUE,PART_WHOLE
USAGE,NN,NNS,Automatic Speech Recognition technology,dialog systems,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,semantic constraints,anaphora references,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,trainable components,hand-crafted template-based or rule-based approaches,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNP,word forms,Czech,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,intentional structure,discourse-relevant purposes,FALSE,MODEL-FEATURE
USAGE,NN,NN,educational tool,protocol analysis,FALSE,USAGE
USAGE,NN,NN,natural language processing,speech understanding,FALSE,USAGE
MODEL-FEATURE,NN,NNS,lexical coverage,MT systems,FALSE,MODEL-FEATURE
PART_WHOLE,VBZ,NNS,sentences,words,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,translation,words,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,interpretation,conceptual operations,FALSE,MODEL-FEATURE
USAGE,JJ,JJ,vocabulary,target vocabulary,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,temporal expressions,genre,TRUE,PART_WHOLE
USAGE,NN,NNS,mutual information,error-correction rules,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,hierarchical (or other types of) relations,terms,FALSE,MODEL-FEATURE
USAGE,VBG,NNP,parsing,PCFG-LA,TRUE,USAGE
USAGE,NN,NNS,boosting approach,ranking problems,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,Spelling-checkers,text processing software,FALSE,PART_WHOLE
RESULT,NN,NN,tagger,accuracy,FALSE,RESULT
USAGE,NN,NNS,phrase-based statistical machine translation method,non-contiguous phrases,TRUE,USAGE
PART_WHOLE,NNS,NN,specific heuristics,multi-strategy framework,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,defeat rules,defeasibility,FALSE,PART_WHOLE
USAGE,NNS,JJ,block selection criteria,unigram,TRUE,PART_WHOLE
PART_WHOLE,NNS,NN,projection of structures,lexicon,FALSE,PART_WHOLE
USAGE,NNS,NN,parsing strategies,types of knowledge,TRUE,USAGE
PART_WHOLE,NN,NNP,restricted subset,English,FALSE,PART_WHOLE
USAGE,NN,NN,KL-ONE style representation,parsing,FALSE,USAGE
MODEL-FEATURE,NN,NN,robustness,linguistic processing,FALSE,USAGE
USAGE,NNS,NNS,representations,"""English"," Arabic and Spanish lexicons""",FALSE,COMPARE
USAGE,NNS,NN,reasoning with dispositions,fuzzy syllogism,TRUE,PART_WHOLE
USAGE,NNS,NN,model parameters,vocabulary,FALSE,PART_WHOLE
